shift,z_dist,strain,gap
0.4,6.285714285714286,0.9976923076923077,"(0.7369299776390086, 1.3946114291870022, 0.6576814515479936)"
0.4,6.285714285714286,0.9992307692307693,"(0.7133599810131473, 1.360257340776422, 0.6468973597632747)"
0.4,6.285714285714286,1.0007692307692309,"(0.6918238107375955, 1.3274287817658046, 0.6356049710282091)"
0.4,6.285714285714286,1.0023076923076923,"(0.6685975459360282, 1.2933357859258672, 0.624738239989839)"
0.4,6.285714285714286,1.0038461538461538,"(0.6483810961556427, 1.2614925638809298, 0.6131114677252871)"
0.4,6.285714285714286,1.0053846153846153,"(0.6273158210264939, 1.2290224908334324, 0.6017066698069385)"
0.4,6.285714285714286,1.006923076923077,"(0.60361151537739, 1.1947584603007202, 0.5911469449233302)"
0.4,6.285714285714286,1.0084615384615385,"(0.5845732132122647, 1.1636317973804027, 0.5790585841681379)"
0.4,6.285714285714286,1.01,"(0.5629300160623038, 1.1306877507477036, 0.5677577346853998)"
0.4,6.357142857142857,0.99,"(0.8903614491637755, 1.5476710166759209, 0.6573095675121454)"
0.4,6.357142857142857,0.9915384615384615,"(0.8655659135176756, 1.5133452615830776, 0.6477793480654019)"
0.4,6.357142857142857,0.9930769230769231,"(0.8414727775521798, 1.4782278068808927, 0.636755029328713)"
0.4,6.357142857142857,0.9946153846153846,"(0.816935856145002, 1.4437937065448803, 0.6268578503998783)"
0.4,6.357142857142857,0.9961538461538462,"(0.793132116308465, 1.409922105113142, 0.6167899888046771)"
0.4,6.357142857142857,0.9976923076923077,"(0.7705481902808029, 1.376895842630596, 0.606347652349793)"
0.4,6.357142857142857,0.9992307692307693,"(0.7462240676700397, 1.3421545590549615, 0.5959304913849218)"
0.4,6.357142857142857,1.0007692307692309,"(0.7231770678168822, 1.3083643713549598, 0.5851873035380776)"
0.4,6.357142857142857,1.0023076923076923,"(0.7016534759133791, 1.2764588600901703, 0.5748053841767912)"
0.4,6.357142857142857,1.0038461538461538,"(0.6787757777693805, 1.2428135479731082, 0.5640377702037277)"
0.4,6.357142857142857,1.0053846153846153,"(0.657221909341964, 1.2104629134598146, 0.5532410041178506)"
0.4,6.357142857142857,1.006923076923077,"(0.6373751782049841, 1.1792780680646906, 0.5419028898597065)"
0.4,6.357142857142857,1.0084615384615385,"(0.6135421838514528, 1.1457266325441082, 0.5321844486926555)"
0.4,6.357142857142857,1.01,"(0.5921777260564346, 1.113669897780851, 0.5214921717244164)"
0.4,6.428571428571429,0.99,"(0.9214729959524012, 1.5293091338868967, 0.6078361379344955)"
0.4,6.428571428571429,0.9915384615384615,"(0.8962661939725879, 1.4948543499199785, 0.5985881559473906)"
0.4,6.428571428571429,0.9930769230769231,"(0.8710780395755555, 1.4600951610777473, 0.5890171215021918)"
0.4,6.428571428571429,0.9946153846153846,"(0.8457423217007496, 1.4253584052713804, 0.5796160835706308)"
0.4,6.428571428571429,0.9961538461538462,"(0.8231408289025239, 1.392673902157721, 0.5695330732551971)"
