distance,shift,gap
6.723684210526315930e+00,8.421052631578946901e-01,8.617742978328640779e-01
6.763157894736842479e+00,8.421052631578946901e-01,8.709353276451925474e-01
6.802631578947368141e+00,8.421052631578946901e-01,8.807524505979449359e-01
6.842105263157894690e+00,8.421052631578946901e-01,8.871450860749918732e-01
6.881578947368421240e+00,8.421052631578946901e-01,8.955287132059792654e-01
6.921052631578946901e+00,8.421052631578946901e-01,8.937789459608984632e-01
6.960526315789473450e+00,8.421052631578946901e-01,8.894180774361896136e-01
7.000000000000000000e+00,8.421052631578946901e-01,8.851147116819533256e-01
6.250000000000000000e+00,8.947368421052630527e-01,6.403489314203664184e-01
6.289473684210526550e+00,8.947368421052630527e-01,6.691005568766106304e-01
6.328947368421052211e+00,8.947368421052630527e-01,6.949759595374612742e-01
6.368421052631578760e+00,8.947368421052630527e-01,7.170139780494766413e-01
6.407894736842105310e+00,8.947368421052630527e-01,7.391189046386886785e-01
6.447368421052631859e+00,8.947368421052630527e-01,7.590379069144150836e-01
6.486842105263157521e+00,8.947368421052630527e-01,7.759523205222755848e-01
6.526315789473684070e+00,8.947368421052630527e-01,7.930965381601079445e-01
6.565789473684210620e+00,8.947368421052630527e-01,8.084258017067320612e-01
6.605263157894737169e+00,8.947368421052630527e-01,8.226689829247109120e-01
6.644736842105262831e+00,8.947368421052630527e-01,8.354790528731785848e-01
6.684210526315789380e+00,8.947368421052630527e-01,8.472697858093042322e-01
6.723684210526315930e+00,8.947368421052630527e-01,8.579768156785236854e-01
6.763157894736842479e+00,8.947368421052630527e-01,8.674919105913176942e-01
6.802631578947368141e+00,8.947368421052630527e-01,8.776157247718090471e-01
6.842105263157894690e+00,8.947368421052630527e-01,8.840846874841117309e-01
6.881578947368421240e+00,8.947368421052630527e-01,8.930963153323423498e-01
6.921052631578946901e+00,8.947368421052630527e-01,8.938159177740953032e-01
