     twist_angle  internal_angle  natoms  strain                 coeffs_a                 coeffs_b  norm_ratio
83          1.16          121.31 3243.00    0.25  ([-14, 13], [-12, -26])  ([-15, 13], [-12, -27])        1.04
84          1.16          118.86 2646.00    0.15  ([-14, 10], [-10, -23])  ([-15, 10], [-10, -24])        1.04
85          1.16          124.56 2304.00    0.42   ([-10, -23], [22, 14])   ([-10, -24], [23, 15])        1.03
86          1.17          118.87 1875.00    0.69   ([-20, -13], [12, -7])   ([-21, -14], [13, -7])        1.05
87          1.17          123.16 2640.00    0.22     ([25, 14], [-14, 9])     ([26, 15], [-15, 9])        1.08
88          1.17          124.30 3996.00    0.57  ([-31, -14], [15, -14])  ([-32, -15], [16, -14])        1.07
89          1.17          121.14 3741.00    0.42  ([-29, -14], [14, -14])  ([-30, -15], [15, -14])        1.04
90          1.17          121.22 3486.00    0.34  ([-14, 14], [-13, -27])  ([-15, 14], [-13, -28])        1.04
91          1.17          125.02 3231.00    0.33  ([-14, 14], [-11, -26])  ([-15, 14], [-11, -27])        1.07
92          1.17          124.52 3729.00    0.50  ([-30, -14], [15, -13])  ([-31, -15], [16, -13])        1.07
93          1.17          124.76 3474.00    0.42  ([-29, -14], [15, -12])  ([-30, -15], [16, -12])        1.07
94          1.18          122.93 2853.00    0.15  ([-26, -14], [14, -10])  ([-27, -15], [15, -10])        1.08
95          1.19          120.00 1758.00    0.70    ([-7, -19], [19, 12])    ([-7, -20], [20, 13])        1.00
96          1.19          121.81 2175.00    0.44    ([-13, 9], [-8, -21])    ([-14, 9], [-8, -22])        1.04
97          1.19          120.00 2505.00    0.15   ([-10, -23], [23, 13])   ([-10, -24], [24, 14])        1.00
98          1.19          120.53 2499.00    0.28   ([-14, 10], [-9, -22])   ([-15, 10], [-9, -23])        1.09
99          1.19          122.73 3078.00    0.25  ([-14, 13], [-11, -25])  ([-15, 13], [-11, -26])        1.08
100         1.19          122.21 3825.00    0.51  ([-30, -14], [14, -14])  ([-31, -15], [15, -14])        1.07
101         1.20          122.36 3564.00    0.43  ([-29, -14], [14, -13])  ([-30, -15], [15, -13])        1.07
102         1.20          122.54 3315.00    0.34  ([-14, 14], [-12, -26])  ([-15, 14], [-12, -27])        1.07
103         1.21          120.38 2706.00    0.15    ([25, 14], [-13, 10])    ([26, 15], [-14, 10])        1.08
104         1.21          122.22 1641.00    0.91    ([-7, -19], [18, 12])    ([-7, -20], [19, 13])        1.05
105         1.22          123.79 2040.00    0.62    ([-13, 9], [-7, -20])    ([-14, 9], [-7, -21])        1.09
106         1.22          121.67 2364.00    0.30   ([-10, -23], [22, 13])   ([-10, -24], [23, 14])        1.04
107         1.22          126.39 3903.00    0.61   ([18, 31], [-29, -15])   ([18, 32], [-30, -16])        1.07
108         1.25          123.49 2223.00    0.46   ([-10, -23], [21, 13])   ([-10, -24], [22, 14])        1.09
